angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.3,,"[423, 80, 160, 202]",,0.0,,0.16,,0.0,,0.4,,0.12,,0.01,
0.21,,"[417, 82, 166, 209]",,0.0,,0.08,,0.0,,0.47,,0.23,,0.0,
0.07,,"[414, 81, 167, 213]",,0.0,,0.04,,0.0,,0.59,,0.3,,0.0,
0.09,,"[411, 82, 168, 213]",,0.0,,0.03,,0.0,,0.58,,0.29,,0.0,
0.1,,"[412, 82, 168, 213]",,0.0,,0.04,,0.0,,0.56,,0.29,,0.0,
0.07,,"[408, 81, 169, 215]",,0.0,,0.03,,0.0,,0.61,,0.28,,0.0,
0.14,,"[402, 78, 174, 224]",,0.0,,0.04,,0.0,,0.53,,0.29,,0.0,
0.07,,"[404, 78, 173, 223]",,0.0,,0.02,,0.0,,0.71,,0.2,,0.0,
0.09,,"[405, 83, 169, 221]",,0.0,,0.02,,0.0,,0.54,,0.34,,0.0,
0.14,,"[400, 83, 172, 226]",,0.0,,0.06,,0.0,,0.4,,0.4,,0.0,
0.13,,"[400, 83, 172, 226]",,0.0,,0.06,,0.0,,0.4,,0.4,,0.0,
0.13,,"[401, 83, 171, 226]",,0.0,,0.06,,0.0,,0.49,,0.32,,0.0,
0.16,,"[403, 87, 170, 223]",,0.0,,0.03,,0.0,,0.53,,0.28,,0.0,
0.11,,"[403, 87, 171, 222]",,0.0,,0.02,,0.0,,0.6,,0.26,,0.0,
0.11,,"[403, 87, 171, 222]",,0.0,,0.02,,0.0,,0.6,,0.26,,0.0,
0.09,,"[404, 87, 169, 223]",,0.0,,0.03,,0.0,,0.54,,0.33,,0.0,
0.09,,"[404, 87, 169, 223]",,0.0,,0.03,,0.0,,0.53,,0.34,,0.0,
0.27,,"[404, 85, 171, 225]",,0.01,,0.11,,0.0,,0.3,,0.32,,0.0,
0.21,,"[405, 84, 175, 226]",,0.0,,0.09,,0.0,,0.32,,0.37,,0.01,
0.21,,"[405, 84, 175, 226]",,0.0,,0.09,,0.0,,0.31,,0.38,,0.01,
0.2,,"[405, 84, 175, 226]",,0.0,,0.09,,0.0,,0.31,,0.38,,0.01,
0.25,,"[409, 87, 174, 233]",,0.0,,0.15,,0.0,,0.29,,0.3,,0.02,
0.21,,"[407, 93, 171, 226]",,0.0,,0.08,,0.0,,0.37,,0.32,,0.01,
0.23,,"[403, 94, 177, 226]",,0.01,,0.06,,0.0,,0.38,,0.31,,0.01,
0.21,,"[410, 90, 168, 231]",,0.0,,0.15,,0.0,,0.36,,0.25,,0.03,
0.21,,"[410, 90, 168, 231]",,0.0,,0.14,,0.0,,0.37,,0.24,,0.03,
0.21,,"[410, 90, 168, 231]",,0.0,,0.14,,0.0,,0.37,,0.25,,0.03,
0.05,,"[413, 86, 177, 222]",,0.0,,0.02,,0.0,,0.74,,0.18,,0.0,
0.06,,"[414, 86, 176, 222]",,0.0,,0.02,,0.0,,0.73,,0.19,,0.0,
0.05,,"[413, 86, 176, 222]",,0.0,,0.02,,0.0,,0.74,,0.19,,0.0,
0.04,,"[413, 86, 176, 222]",,0.0,,0.02,,0.0,,0.75,,0.19,,0.0,
0.05,,"[413, 86, 176, 222]",,0.0,,0.02,,0.0,,0.74,,0.2,,0.0,
0.04,,"[413, 86, 176, 222]",,0.0,,0.02,,0.0,,0.75,,0.18,,0.0,
0.03,,"[424, 85, 172, 227]",,0.0,,0.03,,0.0,,0.64,,0.3,,0.0,
0.03,,"[420, 83, 181, 231]",,0.0,,0.05,,0.0,,0.65,,0.26,,0.01,
0.07,,"[425, 83, 173, 227]",,0.0,,0.07,,0.0,,0.57,,0.28,,0.01,
0.05,,"[428, 83, 170, 226]",,0.0,,0.04,,0.0,,0.69,,0.22,,0.0,
0.09,,"[431, 90, 168, 206]",,0.0,,0.08,,0.0,,0.61,,0.22,,0.0,
0.07,,"[428, 79, 175, 226]",,0.0,,0.03,,0.0,,0.57,,0.33,,0.0,
0.05,,"[433, 78, 168, 215]",,0.0,,0.02,,0.01,,0.65,,0.27,,0.0,
0.09,,"[433, 78, 167, 215]",,0.0,,0.03,,0.01,,0.54,,0.32,,0.0,
0.03,,"[434, 76, 165, 209]",,0.0,,0.01,,0.01,,0.88,,0.06,,0.01,
0.06,,"[443, 78, 165, 213]",,0.0,,0.01,,0.0,,0.83,,0.09,,0.0,
0.06,,"[443, 78, 165, 213]",,0.0,,0.02,,0.0,,0.82,,0.09,,0.0,
0.06,,"[443, 78, 165, 213]",,0.0,,0.01,,0.0,,0.84,,0.08,,0.0,
0.05,,"[446, 82, 166, 217]",,0.0,,0.02,,0.0,,0.72,,0.21,,0.0,
0.05,,"[445, 82, 167, 217]",,0.0,,0.01,,0.0,,0.72,,0.22,,0.0,
0.08,,"[447, 78, 170, 228]",,0.0,,0.01,,0.0,,0.74,,0.16,,0.0,
0.26,,"[438, 84, 175, 225]",,0.0,,0.03,,0.0,,0.44,,0.25,,0.01,
0.12,,"[447, 84, 171, 230]",,0.0,,0.02,,0.0,,0.55,,0.3,,0.0,
0.14,,"[447, 84, 171, 231]",,0.0,,0.02,,0.0,,0.51,,0.32,,0.01,
0.14,,"[442, 85, 177, 232]",,0.0,,0.05,,0.0,,0.33,,0.47,,0.01,
0.1,,"[447, 84, 171, 231]",,0.0,,0.01,,0.0,,0.55,,0.32,,0.0,
0.12,,"[448, 83, 171, 232]",,0.0,,0.02,,0.0,,0.4,,0.45,,0.0,
0.07,,"[398, 76, 243, 314]",,0.0,,0.05,,0.0,,0.76,,0.12,,0.01,
0.07,,"[398, 76, 243, 314]",,0.0,,0.05,,0.0,,0.75,,0.13,,0.01,
0.05,,"[397, 98, 232, 287]",,0.0,,0.04,,0.0,,0.48,,0.42,,0.0,
0.04,,"[397, 98, 232, 287]",,0.0,,0.04,,0.0,,0.5,,0.41,,0.0,
0.01,,"[393, 85, 243, 309]",,0.0,,0.01,,0.0,,0.87,,0.11,,0.0,
0.01,,"[395, 85, 242, 309]",,0.0,,0.01,,0.0,,0.86,,0.12,,0.0,
0.13,,"[388, 85, 251, 311]",,0.0,,0.08,,0.0,,0.43,,0.36,,0.01,
0.1,,"[388, 82, 249, 318]",,0.0,,0.1,,0.0,,0.35,,0.43,,0.01,
0.02,,"[377, 80, 251, 310]",,0.0,,0.01,,0.0,,0.87,,0.1,,0.0,
0.02,,"[377, 80, 251, 310]",,0.0,,0.01,,0.0,,0.87,,0.1,,0.0,
0.11,,"[392, 95, 232, 287]",,0.0,,0.04,,0.0,,0.68,,0.17,,0.01,
0.11,,"[392, 95, 232, 287]",,0.0,,0.04,,0.0,,0.68,,0.17,,0.0,
0.1,,"[399, 87, 234, 295]",,0.0,,0.46,,0.0,,0.17,,0.19,,0.08,
0.08,,"[378, 79, 248, 306]",,0.0,,0.1,,0.0,,0.53,,0.25,,0.04,
0.08,,"[378, 79, 248, 305]",,0.0,,0.08,,0.0,,0.58,,0.22,,0.03,
0.08,,"[378, 79, 248, 305]",,0.0,,0.08,,0.0,,0.58,,0.22,,0.03,
0.06,,"[385, 96, 232, 286]",,0.0,,0.05,,0.0,,0.75,,0.11,,0.03,
0.05,,"[384, 95, 233, 287]",,0.0,,0.04,,0.0,,0.78,,0.12,,0.02,
0.09,,"[375, 92, 237, 303]",,0.0,,0.11,,0.01,,0.51,,0.22,,0.06,
0.1,,"[378, 94, 230, 299]",,0.0,,0.14,,0.01,,0.41,,0.28,,0.07,
0.05,,"[381, 81, 245, 318]",,0.0,,0.03,,0.0,,0.71,,0.18,,0.02,
0.05,,"[381, 81, 245, 318]",,0.0,,0.03,,0.0,,0.71,,0.18,,0.02,
0.04,,"[379, 96, 242, 304]",,0.0,,0.07,,0.0,,0.74,,0.12,,0.03,
0.03,,"[377, 95, 243, 305]",,0.0,,0.03,,0.0,,0.86,,0.05,,0.02,
0.06,,"[372, 109, 235, 300]",,0.0,,0.07,,0.0,,0.67,,0.14,,0.05,
0.06,,"[372, 109, 235, 300]",,0.0,,0.06,,0.0,,0.67,,0.15,,0.05,
0.08,,"[372, 108, 239, 304]",,0.0,,0.04,,0.01,,0.7,,0.13,,0.05,
0.07,,"[380, 105, 241, 308]",,0.0,,0.04,,0.01,,0.67,,0.19,,0.03,
0.11,,"[376, 107, 242, 306]",,0.0,,0.07,,0.02,,0.49,,0.15,,0.16,
0.11,,"[376, 107, 241, 306]",,0.0,,0.07,,0.02,,0.48,,0.15,,0.16,
0.03,,"[379, 94, 246, 315]",,0.0,,0.05,,0.02,,0.35,,0.11,,0.45,
0.03,,"[378, 96, 240, 307]",,0.0,,0.06,,0.02,,0.23,,0.05,,0.61,
0.05,,"[375, 98, 246, 303]",,0.0,,0.02,,0.06,,0.5,,0.06,,0.3,
0.04,,"[372, 97, 248, 305]",,0.0,,0.02,,0.05,,0.58,,0.09,,0.22,
0.03,,"[374, 96, 230, 293]",,0.0,,0.04,,0.02,,0.12,,0.02,,0.78,
0.03,,"[376, 97, 231, 292]",,0.0,,0.07,,0.02,,0.09,,0.03,,0.77,
0.08,,"[381, 82, 243, 302]",,0.0,,0.17,,0.0,,0.39,,0.24,,0.13,
0.08,,"[381, 81, 243, 302]",,0.0,,0.11,,0.0,,0.47,,0.24,,0.1,
0.03,,"[379, 87, 239, 300]",,0.0,,0.02,,0.0,,0.88,,0.05,,0.01,
0.03,,"[379, 87, 239, 300]",,0.0,,0.02,,0.0,,0.88,,0.05,,0.01,
0.07,,"[384, 81, 241, 306]",,0.0,,0.13,,0.0,,0.6,,0.18,,0.01,
0.08,,"[384, 81, 241, 306]",,0.0,,0.12,,0.0,,0.6,,0.19,,0.01,
0.02,,"[381, 96, 233, 301]",,0.0,,0.0,,0.01,,0.91,,0.06,,0.0,
0.02,,"[381, 96, 233, 301]",,0.0,,0.0,,0.01,,0.91,,0.06,,0.0,
0.01,,"[373, 98, 240, 307]",,0.0,,0.0,,0.0,,0.91,,0.07,,0.0,
0.01,,"[373, 97, 240, 307]",,0.0,,0.0,,0.0,,0.92,,0.07,,0.0,
0.05,,"[387, 96, 252, 319]",,0.0,,0.04,,0.03,,0.72,,0.13,,0.02,
0.06,,"[387, 96, 253, 320]",,0.0,,0.06,,0.04,,0.68,,0.14,,0.03,
0.01,,"[376, 111, 244, 317]",,0.0,,0.01,,0.0,,0.9,,0.08,,0.0,
0.02,,"[395, 104, 253, 327]",,0.0,,0.01,,0.01,,0.88,,0.07,,0.0,
0.02,,"[395, 105, 253, 326]",,0.0,,0.01,,0.01,,0.89,,0.06,,0.01,
0.02,,"[395, 104, 252, 327]",,0.0,,0.01,,0.01,,0.88,,0.07,,0.0,
0.01,,"[395, 120, 241, 311]",,0.0,,0.04,,0.01,,0.84,,0.05,,0.05,
0.01,,"[393, 119, 244, 314]",,0.0,,0.03,,0.0,,0.88,,0.04,,0.03,
0.03,,"[395, 124, 244, 311]",,0.0,,0.07,,0.01,,0.78,,0.06,,0.05,
0.02,,"[395, 124, 244, 312]",,0.0,,0.05,,0.01,,0.83,,0.04,,0.04,
0.04,,"[393, 123, 251, 316]",,0.0,,0.08,,0.01,,0.71,,0.05,,0.1,
0.04,,"[393, 123, 251, 316]",,0.0,,0.09,,0.01,,0.7,,0.05,,0.1,
0.04,,"[400, 128, 238, 310]",,0.0,,0.1,,0.01,,0.6,,0.06,,0.19,
0.04,,"[400, 130, 239, 308]",,0.0,,0.12,,0.01,,0.61,,0.07,,0.15,
0.02,,"[388, 114, 257, 332]",,0.0,,0.01,,0.0,,0.88,,0.06,,0.02,
0.03,,"[387, 112, 260, 334]",,0.0,,0.03,,0.01,,0.82,,0.07,,0.04,
0.04,,"[390, 112, 257, 332]",,0.0,,0.03,,0.0,,0.75,,0.14,,0.03,
0.03,,"[390, 113, 257, 331]",,0.0,,0.03,,0.0,,0.79,,0.1,,0.05,
0.03,,"[372, 116, 248, 327]",,0.0,,0.1,,0.0,,0.43,,0.43,,0.01,
0.03,,"[371, 113, 249, 329]",,0.0,,0.07,,0.0,,0.45,,0.45,,0.0,
0.05,,"[358, 110, 252, 332]",,0.0,,0.05,,0.0,,0.51,,0.38,,0.0,
0.05,,"[359, 111, 252, 330]",,0.0,,0.06,,0.0,,0.45,,0.44,,0.0,
0.07,,"[364, 119, 240, 319]",,0.0,,0.03,,0.0,,0.53,,0.36,,0.01,
0.07,,"[364, 119, 240, 319]",,0.0,,0.03,,0.0,,0.53,,0.36,,0.01,
0.05,,"[358, 92, 246, 327]",,0.0,,0.1,,0.0,,0.53,,0.3,,0.02,
0.07,,"[358, 92, 245, 328]",,0.0,,0.09,,0.0,,0.53,,0.28,,0.02,
0.12,,"[373, 90, 232, 306]",,0.0,,0.07,,0.0,,0.53,,0.26,,0.02,
0.14,,"[373, 90, 232, 306]",,0.0,,0.07,,0.0,,0.51,,0.26,,0.02,
0.03,,"[372, 79, 231, 306]",,0.0,,0.05,,0.0,,0.76,,0.15,,0.01,
0.05,,"[373, 79, 231, 306]",,0.0,,0.06,,0.0,,0.73,,0.15,,0.01,
0.01,,"[370, 74, 227, 289]",,0.0,,0.06,,0.0,,0.81,,0.09,,0.02,
0.01,,"[370, 74, 227, 291]",,0.0,,0.05,,0.0,,0.86,,0.08,,0.01,
0.04,,"[374, 68, 231, 289]",,0.0,,0.05,,0.0,,0.61,,0.29,,0.0,
0.04,,"[374, 68, 231, 289]",,0.0,,0.05,,0.0,,0.62,,0.28,,0.0,
0.04,,"[370, 69, 232, 289]",,0.0,,0.04,,0.0,,0.63,,0.28,,0.0,
0.04,,"[370, 69, 232, 289]",,0.0,,0.04,,0.0,,0.62,,0.29,,0.0,
0.04,,"[369, 71, 232, 290]",,0.0,,0.03,,0.0,,0.56,,0.36,,0.0,
0.04,,"[369, 71, 232, 290]",,0.0,,0.03,,0.0,,0.56,,0.36,,0.0,
0.09,,"[362, 71, 236, 299]",,0.0,,0.06,,0.0,,0.46,,0.39,,0.0,
0.07,,"[362, 71, 236, 300]",,0.0,,0.05,,0.0,,0.4,,0.47,,0.0,
0.13,,"[357, 75, 242, 300]",,0.0,,0.09,,0.0,,0.3,,0.48,,0.0,
0.1,,"[357, 74, 238, 298]",,0.0,,0.07,,0.0,,0.2,,0.63,,0.0,
0.11,,"[356, 78, 232, 287]",,0.0,,0.07,,0.0,,0.29,,0.52,,0.0,
0.12,,"[355, 77, 232, 287]",,0.0,,0.06,,0.0,,0.36,,0.45,,0.0,
0.1,,"[358, 75, 227, 286]",,0.0,,0.06,,0.0,,0.34,,0.51,,0.0,
0.08,,"[357, 76, 228, 287]",,0.0,,0.05,,0.0,,0.47,,0.39,,0.0,
0.08,,"[359, 74, 236, 293]",,0.0,,0.03,,0.0,,0.55,,0.34,,0.0,
0.08,,"[359, 74, 236, 293]",,0.0,,0.03,,0.0,,0.56,,0.33,,0.0,
0.11,,"[360, 64, 233, 291]",,0.0,,0.09,,0.0,,0.33,,0.46,,0.0,
0.11,,"[360, 64, 233, 291]",,0.0,,0.09,,0.0,,0.33,,0.47,,0.0,
0.07,,"[359, 61, 238, 299]",,0.0,,0.05,,0.0,,0.48,,0.4,,0.0,
0.07,,"[359, 61, 238, 299]",,0.0,,0.05,,0.0,,0.48,,0.4,,0.0,
0.06,,"[366, 60, 235, 295]",,0.0,,0.05,,0.0,,0.6,,0.28,,0.0,
0.05,,"[366, 60, 235, 295]",,0.0,,0.05,,0.0,,0.61,,0.28,,0.0,
0.1,,"[382, 67, 227, 293]",,0.0,,0.02,,0.0,,0.69,,0.18,,0.0,
0.11,,"[381, 67, 228, 293]",,0.0,,0.02,,0.0,,0.68,,0.18,,0.0,
0.11,,"[389, 70, 227, 301]",,0.0,,0.04,,0.0,,0.55,,0.29,,0.0,
0.06,,"[379, 65, 235, 309]",,0.0,,0.04,,0.0,,0.59,,0.31,,0.01,
0.1,,"[388, 76, 238, 306]",,0.0,,0.02,,0.0,,0.5,,0.37,,0.0,
0.1,,"[388, 76, 238, 306]",,0.0,,0.02,,0.0,,0.51,,0.37,,0.0,
0.08,,"[389, 75, 242, 317]",,0.0,,0.06,,0.0,,0.46,,0.4,,0.0,
0.09,,"[389, 75, 242, 317]",,0.0,,0.06,,0.0,,0.45,,0.4,,0.0,
0.05,,"[392, 69, 245, 313]",,0.0,,0.02,,0.0,,0.55,,0.38,,0.0,
0.09,,"[392, 72, 245, 310]",,0.0,,0.02,,0.0,,0.47,,0.42,,0.0,
0.06,,"[404, 66, 237, 310]",,0.0,,0.03,,0.0,,0.41,,0.5,,0.0,
0.05,,"[405, 64, 237, 312]",,0.0,,0.04,,0.0,,0.45,,0.46,,0.0,
0.07,,"[409, 65, 235, 308]",,0.0,,0.02,,0.0,,0.51,,0.4,,0.0,
0.07,,"[408, 65, 236, 308]",,0.0,,0.02,,0.0,,0.37,,0.54,,0.0,
0.05,,"[412, 64, 239, 317]",,0.0,,0.03,,0.0,,0.53,,0.37,,0.01,
0.05,,"[412, 64, 239, 317]",,0.0,,0.03,,0.0,,0.53,,0.37,,0.01,
0.03,,"[410, 67, 244, 315]",,0.0,,0.01,,0.0,,0.67,,0.3,,0.0,
0.03,,"[410, 67, 244, 315]",,0.0,,0.01,,0.0,,0.67,,0.3,,0.0,
0.05,,"[426, 78, 229, 305]",,0.0,,0.02,,0.0,,0.54,,0.39,,0.0,
0.04,,"[417, 71, 242, 316]",,0.0,,0.02,,0.0,,0.5,,0.43,,0.0,
